review_id,post_title,review_datetime,review_overall,rating_ceo,rating_businessoutlook,rating_worklifebalance,rating_culture_values,rating_diversity_inclusion,rating_senior_leadership,rating_recommend_friend,rating_career_opport,rating_compensation_benefits,is_current_job,length_employment,employment_status,job_ending_year,pros,cons,advice,count_helpful,count_nothelpful,employer_reponses,language_id
47032429,"""Great atmosphere""",2021-05-17T04:09:30.650,5,"""APPROVE""","""POSITIVE""",5,5,5,4,"""POSITIVE""",4,4,false,4,"""REGULAR""",2017,"No hierarchy, good benefits, perfect work-personal life balance",Salary lower than competitors and big taxes on company car,null,0,0,[],"""eng"""
47031765,"""internship""",2021-05-17T03:48:10.567,5,null,null,0,0,0,0,null,0,0,true,0,"""REGULAR""",null,It\'s a great first working experience,there are no disadvantages in,null,0,0,[],"""eng"""
47030104,"""Awesome Company""",2021-05-17T02:51:59.677,5,null,null,5,5,5,5,null,5,0,false,1,"""INTERN""",2020,Great team and HR department who were always willing to help and are genuinely invested in your growth.,No cons that I can think of,null,0,0,[],"""eng"""
47008587,"""Good""",2021-05-16T11:31:58.870,4,"""APPROVE""","""POSITIVE""",2,4,3,2,"""POSITIVE""",3,3,true,0,"""REGULAR""",null,Stability and growth\\r\\nProfessional environment \\r\\nAcceptable salaries\\r\\nGuidance and support,Workload\\r\\nReporting to many zones\\r\\nWeak communication between departments,"""Review compensation to workers""",0,0,[],"""eng"""
47005503,"""Ok for entry level""",2021-05-16T09:35:03.187,4,null,null,4,4,3,3,null,3,4,true,2,"""REGULAR""",null,"ok for salary, bonus &amp; work load",leader is not very good,null,0,0,[],"""eng"""
46998473,"""Good""",2021-05-16T04:13:15.570,4,null,"""NEUTRAL""",2,4,3,3,"""POSITIVE""",4,5,false,2,"""REGULAR""",2020,good work environment and enhances skills,peer pressure and disturbs balance in life,null,0,0,[],"""eng"""
46983675,"""working in Nestle""",2021-05-15T12:36:53.120,3,"""APPROVE""","""POSITIVE""",3,2,4,4,"""NEGATIVE""",4,2,false,2,"""REGULAR""",2019,learn different accounting procedures and diversified culture,"low salary, over time work",null,0,0,[],"""eng"""
46970236,"""Comfortable international work atmosphere""",2021-05-15T01:46:30.070,4,null,"""POSITIVE""",5,4,4,3,"""POSITIVE""",3,3,false,1,"""REGULAR""",2017,Ambitious project in an international environment,Too vertical management structure not giving way to progressive ideas,null,0,0,[],"""eng"""
46947968,"""Awful""",2021-05-14T10:49:55.163,2,"""APPROVE""","""NEGATIVE""",0,0,0,0,"""NEGATIVE""",0,0,false,6,"""REGULAR""",2020,Good company to work for with great benefits.,"Poor management with favoritism, not quality of work.",null,0,0,[],"""eng"""
46940120,"""Brand Manager at Nestle""",2021-05-14T07:53:58.667,3,"""DISAPPROVE""",null,2,4,4,2,"""NEGATIVE""",3,3,true,4,"""REGULAR""",null,You will lear A Lot just in small amount of time,Work is so demanding that it will exhaust you,null,0,0,[],"""eng"""
