review_id,post_title,review_datetime,review_overall,rating_ceo,rating_businessoutlook,rating_worklifebalance,rating_culture_values,rating_diversity_inclusion,rating_senior_leadership,rating_recommend_friend,rating_career_opport,rating_compensation_benefits,is_current_job,length_employment,employment_status,job_ending_year,pros,cons,advice,count_helpful,count_nothelpful,employer_reponses,language_id
65696286,"""Great environment, great people""",2022-06-18T00:16:48.257,5,null,"""POSITIVE""",4,4,4,4,"""POSITIVE""",4,4,true,1,"""REGULAR""",null,"People, events, fun, discount and bonus","Hours, bonus is often smaller, commute, promotions",null,0,0,[],"""eng"""
63986321,"""Good Company""",2022-05-11T10:56:33.960,3,null,null,0,0,0,0,null,0,0,true,9,"""REGULAR""",null,"Younger crowd moving coming in, maybe for the better.","Things are changing, not sure what direction they are headed in.",null,0,0,[],"""eng"""
62349243,"""The cliquiest place I\'ve ever worked in""",2022-04-06T01:46:07.250,2,null,null,2,1,4,2,null,4,2,false,2,"""REGULAR""",2022,"Work on some cool, big budget projects\\r\\nSome nice people that work there \\r\\nMeet world renowned athletes \\r\\nSalary is okay\\r\\nChance to progress is good if you can handle it","- Disorganised - they describe the company as \'fast paced\' in reality they mean they\'re trying to do too much and don\'t have the resources or won\'t invest in the adequate resources to do so, leading to staff being incredibly overworked.\\r\\n\\r\\n- Cliquey environment - the company is made up of several cliques and if you don\'t find yourself within one of these it can be difficult to progress. \\r\\n\\r\\n- Blame culture - there was huge blame culture here. When something goes right everyone would be praised. If something went wrong - people were  quick to look to pass blame and throw people under the bus.\\r\\n\\r\\n- Out of hours work - this is normalised through the business with people working beyond normal hours and even on weekends. Yes, it\'s okay to put extra time in every now and then but this was a constant theme.\\r\\n\\r\\n- Workload - the workload is a lot, which is fine, but people leave all the time and the team is expected to maintain the same level of output\\r\\n\\r\\n- Set lunchtime - they make you take your lunch between 12-1 everyday. If you miss this window you don\'t get a lunch break.\\r\\n\\r\\n- Poor location - the location is easy to get to but there is nothing there once you arrive. No chill out areas for staff to take their lunch, no greenery, nothing to do whilst on lunch e.g. table tennis. Most people eat at their desks.\\r\\n\\r\\n- Inexperienced team - they hire really young, inexperienced people (often apprentices) and expect them to be able to carry out big projects or tasks.",null,1,0,[],"""eng"""
61143966,"""Excellent teamwork and colleague""",2022-03-14T06:43:51.887,5,null,"""NEUTRAL""",3,5,5,4,"""POSITIVE""",5,5,true,0,"""REGULAR""",null,Closed communication between department\\r\\nOn job training is provided\\r\\nColleagues are willing to share the knowledge\\r\\nA lot of opportunities to cover a wild range of knowledge,"Lack of project management role, everybody has to take part of project management role.",null,0,0,[],"""eng"""
59159189,"""NO""",2022-02-05T11:08:47.287,4,null,"""POSITIVE""",3,3,3,3,"""POSITIVE""",0,3,true,2,"""REGULAR""",null,good company and active workforce,active workforce &amp; good company,null,0,0,[],"""eng"""
58793963,"""MP manager""",2022-01-30T11:43:59.013,3,null,null,0,0,0,0,null,0,0,true,2,"""REGULAR""",null,Good culture &amp; work environment,No work life balance exists,null,0,0,[],"""eng"""
58520428,"""Fast Paced and Not Right For Everyone""",2022-01-25T11:04:04.853,3,null,"""POSITIVE""",3,3,2,3,"""POSITIVE""",5,3,true,0,"""REGULAR""",null,The business moves faster than it can keep up with itself. For the right person they can thrive in this environment if they can deal with a bit of uncertainty and the constant pressure to keep up.,Can be quite daunting and you cannot dwell on any successes.,null,0,0,[],"""eng"""
58045390,"""Great Supervisors""",2022-01-17T06:56:00.783,4,null,"""NEUTRAL""",3,3,3,3,"""POSITIVE""",3,3,false,0,"""PART_TIME""",2021,Easy to do tasks and helpful supervisors,Physically Exhausting and demands a lot from your body,null,0,0,[],"""eng"""
57369381,"""good""",2022-01-03T22:40:52.537,4,null,"""POSITIVE""",4,4,5,5,"""POSITIVE""",4,4,true,0,"""REGULAR""",null,very great company to work at,"not much to say, great company",null,0,0,[],"""eng"""
56247477,"""Review""",2021-12-05T07:53:33.300,4,null,"""NEUTRAL""",5,3,2,1,"""NEGATIVE""",1,1,true,0,"""REGULAR""",null,free working time and loading is not much,limited opportunity and normal salary,null,0,0,[],"""eng"""
