review_id,post_title,review_datetime,review_overall,rating_ceo,rating_businessoutlook,rating_worklifebalance,rating_culture_values,rating_diversity_inclusion,rating_senior_leadership,rating_recommend_friend,rating_career_opport,rating_compensation_benefits,is_current_job,length_employment,employment_status,job_ending_year,pros,cons,advice,count_helpful,count_nothelpful,employer_reponses,language_id
68296284,"""Nice place to start career""",2022-08-24T10:25:00.257,4,null,null,0,0,0,0,null,0,0,false,1,"""INTERN""",2018,"Working time is excellent, Great support from seniors.",Nothing so much everything is fine,null,0,0,[],"""eng"""
68288364,"""Great company""",2022-08-24T07:47:57.367,5,null,null,0,0,0,0,null,0,0,true,0,"""REGULAR""",null,Great place to work .,No cons to state .,null,0,0,[],"""eng"""
68282578,"""Npi""",2022-08-24T05:43:01.930,4,null,null,0,0,0,0,null,0,0,true,0,"""REGULAR""",null,Health Benefits are a competitive advantages,Yearly increase is getting lower,null,0,0,[],"""eng"""
68277353,"""Toxic Boss""",2022-08-24T03:08:45.943,2,null,"""NEGATIVE""",3,3,5,3,"""NEGATIVE""",3,4,false,1,"""REGULAR""",2019,"Great training for joiners, good salaries, fun people",There are toxic bosses that allow to bully their team members and when you are within your 6 months probation period you can not do anything about it as even HR doesn\'t listen.,"""Listen the employees and work on the boss not keep sacking employees in her team.""",0,0,[],"""eng"""
68258511,"""Class""",2022-08-23T15:30:25.260,5,"""APPROVE""","""POSITIVE""",3,3,3,1,"""POSITIVE""",5,5,true,2,"""REGULAR""",null,Systems in place. It\'s workers dreams.,"Unlimited driving experience, it\'s getting tok much.","""Listen to the people on the ground.""",0,0,[],"""eng"""
68257386,"""Good development program""",2022-08-23T14:54:42.413,4,null,null,3,4,4,3,null,4,4,false,4,"""REGULAR""",2018,Reputable Company\\nGood benefits and development program,Many conservative mid-management levels.\\nHR are not transparent as they claimed.,null,0,0,[],"""eng"""
68256079,"""Senior Project Manager""",2022-08-23T14:19:39.163,5,"""APPROVE""","""POSITIVE""",5,5,5,4,"""POSITIVE""",5,4,true,4,"""REGULAR""",null,Great team culture. Great work\\u002Flife balance. Flex scheduling,Project work somewhat repetitive at times.,null,0,0,[],"""eng"""
68243350,"""Review""",2022-08-23T09:28:26.597,4,null,null,3,4,5,4,null,3,5,false,4,"""REGULAR""",2018,"Good compensation package (cafeteria, bonus...).","Fluctuation, 10 hours working\\u002Fday. Not only working in one shop.",null,0,0,[],"""eng"""
68238788,"""Was good while it lasted""",2022-08-23T07:52:03.707,3,null,null,0,0,0,0,null,0,0,false,0,"""REGULAR""",2022,I was able to work some impactful projects and it was a stable job up until the last few years,They started caring less and less about their people.,null,0,0,[],"""eng"""
68232550,"""Great Company to work for""",2022-08-23T05:28:36.950,5,"""APPROVE""","""POSITIVE""",5,4,4,5,"""POSITIVE""",5,3,true,9,"""REGULAR""",null,International environment\\nLarge company with many career opportunities\\ngreat working environment,compensation not always great\\nbenefits could be improved,null,0,0,[],"""eng"""
68227547,"""Great culture &amp; benefits""",2022-08-23T02:58:55.017,5,"""APPROVE""","""POSITIVE""",5,4,4,5,"""POSITIVE""",4,4,true,4,"""REGULAR""",null,Opportunity to move around the business.\\r\\nAnnual leave - 12 extra flex days for overtime\\r\\nGood culture,Difficult to get people management experience until you\'re in a very senior position.,null,0,0,[],"""eng"""
68215441,"""Fair""",2022-08-22T19:00:26.413,4,"""NO_OPINION""","""POSITIVE""",3,4,5,3,"""POSITIVE""",4,3,false,0,"""REGULAR""",2022,They have a really good Culture in Nestle,A better and more competitive salary is needed,null,0,0,[],"""eng"""
